"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermiia",0,0,0,0,0,0,0,0.963391136801542,2.20426157237326,0,0
"AT-s3-28",0,0,0,3.21543408360129,0,6.67556742323098,0,4.81695568400771,6.61278471711977,0,0
"Acidobacteria_unclassified",0,0,0,0,0,2.67022696929239,6.23700623700624,11.5606936416185,8.08229243203527,0,0
"Acidobacteriia",362.31884057971,0,372.013651877133,115.755627009646,0,94.7930574098799,149.68814968815,159.922928709056,171.197648787656,0,0
"Aminicenantia",0,0,0,0,0,0,0,5.78034682080925,2.93901542983101,0,0
"Blastocatellia_(Subgroup_4)",851.449275362319,0,918.088737201366,1017.68488745981,0,979.973297730307,74.8440748440749,174.373795761079,189.5664952241,0,0
"Holophagae",228.260869565217,0,216.723549488055,83.6012861736335,0,140.186915887851,187.110187110187,40.4624277456647,37.4724467303453,0,0
"Subgroup_11",3.6231884057971,0,1.70648464163823,0,0,0,0,0.963391136801542,5.14327700220426,0,0
"Subgroup_15",7.2463768115942,0,1.70648464163823,3.21543408360129,0,0,0,5.78034682080925,17.634092578986,7.40740740740742,0
"Subgroup_17",76.0869565217392,0,100.682593856655,38.5852090032154,0,49.3991989319092,66.5280665280666,88.6319845857418,108.00881704629,0,0
"Subgroup_18",168.478260869565,0,121.160409556314,1.60771704180064,0,0,12.4740124740125,3.85356454720617,2.93901542983101,0,0
"Subgroup_20",1.81159420289855,0,5.11945392491468,0,0,1.3351134846462,0,0,0,0,0
"Subgroup_21",0,0,0,1.60771704180064,0,0,33.2640332640333,11.5606936416185,11.756061719324,0,0
"Subgroup_22",9.05797101449276,0,10.2389078498294,14.4694533762058,0,10.6809078771696,16.6320166320166,23.121387283237,99.1917707567965,0,0
"Subgroup_25",27.1739130434783,0,40.9556313993174,28.9389067524116,0,29.3724966622163,4.15800415800416,5.78034682080925,2.93901542983101,0,0
"Subgroup_26",0,0,0,0,0,0,0,1.92678227360308,1.4695077149155,0,0
"Subgroup_5",114.130434782609,0,148.464163822526,1.60771704180064,0,6.67556742323098,0,38.5356454720617,59.5150624540779,0,0
"Subgroup_6",1239.13043478261,0,1351.53583617748,1390.67524115756,0,1349.7997329773,345.114345114345,1118.49710982659,1313.005143277,7.40740740740742,0
"Subgroup_9",0,0,0,0,0,0,0,44.3159922928709,47.7590007347539,0,0
"Thermoanaerobaculia",5.43478260869565,0,18.7713310580205,54.6623794212219,0,78.7716955941255,24.948024948025,189.788053949904,182.218956649522,0,0
"0319-7L14",10.8695652173913,0,37.542662116041,237.942122186495,0,337.783711615487,4.15800415800416,0,0,0,0
"Acidimicrobiia",679.347826086957,500.000000000068,759.385665529011,1720.25723472669,153.846153846157,2086.782376502,170.478170478171,1607.89980732177,1397.50183688464,29.6296296296297,0
"Actinobacteria_unclassified",1440.21739130435,0,1583.61774744027,409.967845659164,76.9230769230785,384.512683578104,6.23700623700624,9.63391136801542,6.61278471711977,0,0
"Actinobacteria",5378.6231884058,0,6684.30034129693,4588.42443729904,76.9230769230785,3145.52736982644,409.56340956341,2489.40269749518,2072.00587803086,1822.22222222223,0
"Coriobacteriia",0,0,0,0,0,0,8.31600831600832,5.78034682080925,0,14.8148148148148,0
"MB-A2-108",1719.20289855073,0,2037.54266211604,871.382636655949,230.769230769236,1129.50600801068,62.3700623700624,355.491329479769,296.840558412932,14.8148148148148,0
"Nitriliruptoria",0,0,1.70648464163823,41.8006430868167,0,34.7129506008011,0,30.8285163776493,19.1036002939015,0,0
"RBG-16-55-12",0,0,0,0,0,0,0,1.92678227360308,0,0,0
"Rubrobacteria",43.4782608695652,0,148.464163822526,528.938906752412,0,379.172229639519,2.07900207900208,0.963391136801542,2.20426157237326,7.40740740740742,0
"Thermoleophilia",6760.8695652174,0,8953.92491467577,6590.03215434084,538.46153846155,6595.46061415221,164.241164241164,705.202312138728,566.495224099927,125.925925925926,0
"WCHB1-81",0,0,0,0,0,0,0,0,2.93901542983101,0,0
"Armatimonadetes_unclassified",0,0,0,1.60771704180064,0,1.3351134846462,2.07900207900208,0.963391136801542,0,0,0
"Armatimonadia",18.1159420289855,0,13.6518771331058,149.51768488746,0,152.202937249666,4.15800415800416,0,0,0,0
"Chthonomonadetes",86.9565217391305,0,88.7372013651878,3.21543408360129,0,14.6862483311081,10.3950103950104,2.89017341040462,1.4695077149155,0,0
"Fimbriimonadia",9.05797101449276,0,11.9453924914676,17.6848874598071,0,33.3778371161549,14.5530145530146,14.4508670520231,5.87803085966201,0,0
"uncultured",182.971014492754,0,139.931740614335,146.302250803859,0,108.144192256342,6.23700623700624,11.5606936416185,20.5731080088171,0,0
"BRC1_cl",19.9275362318841,0,32.4232081911263,17.6848874598071,0,16.0213618157543,6.23700623700624,49.1329479768786,34.5334313005143,0,0
"Bacteria_unclassified",586.956521739131,0,849.829351535837,598.070739549839,0,403.204272363151,384.615384615385,485.549132947977,458.486407053637,7.40740740740742,0
"Bacteroidetes_unclassified",0,0,0,9.64630225080386,0,1.3351134846462,0,12.52408477842,13.2255694342395,0,0
"Bacteroidia",385.869565217391,0,530.716723549488,1662.37942122187,0,1785.04672897196,444.906444906445,1850.67437379576,1878.03085966201,518.51851851852,0.789265982636149
"Ignavibacteria",1.81159420289855,0,11.9453924914676,14.4694533762058,0,20.0267022696929,51.975051975052,60.6936416184971,105.804555473916,0,0
"Rhodothermia",0,0,0,4.82315112540193,0,8.01068090787717,8.31600831600832,112.71676300578,122.703894195445,0,0
"Calditrichia",0,0,0,0,0,0,0,5.78034682080925,20.5731080088171,0,0
"AD3",298.913043478261,0,261.092150170649,0,0,0,0,0,0,0,0
"Anaerolineae",161.231884057971,0,199.658703071672,191.318327974277,0,252.336448598131,900.207900207901,1333.33333333333,1437.17854518736,7.40740740740742,0
"Chloroflexi_unclassified",61.5942028985507,0,90.443686006826,85.2090032154341,0,104.138851802403,47.8170478170478,65.5105973025048,66.1278471711977,0,0
"Chloroflexia",918.478260869566,0,1220.13651877133,1659.16398713826,0,1439.2523364486,112.266112266112,245.664739884393,183.688464364438,0,0
"Dehalococcoidia",99.6376811594203,0,109.215017064846,109.324758842444,0,113.484646194927,10.3950103950104,230.250481695568,268.919911829537,0,0
"Gitt-GS-136",539.855072463768,0,604.095563139932,934.083601286174,0,1022.69692923899,18.7110187110187,183.044315992293,135.929463629684,0,0
