"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermiia_fa",0,0,0,0,0,0,0,0.963391136801542,2.20426157237326,0,0
"AT-s3-28_fa",0,0,0,3.21543408360129,0,6.67556742323098,0,4.81695568400771,6.61278471711977,0,0
"Acidobacteria_unclassified",0,0,0,0,0,2.67022696929239,6.23700623700624,11.5606936416185,8.08229243203527,0,0
"Acidobacteriaceae_(Subgroup_1)",9.05797101449276,0,5.11945392491468,0,0,0,0,0,0,0,0
"Acidobacteriales_unclassified",10.8695652173913,0,11.9453924914676,1.60771704180064,0,4.00534045393859,20.7900207900208,6.74373795761079,7.34753857457752,0,0
"Koribacteraceae",0,0,3.41296928327645,1.60771704180064,0,1.3351134846462,12.4740124740125,0,0,0,0
"uncultured",2693.84057971014,500.000000000068,3266.21160409556,3893.89067524116,384.615384615393,3970.62750333779,178.794178794179,1321.77263969172,1312.27038941955,22.2222222222223,0
"Acidobacteriia_unclassified",0,0,0,0,0,0,2.07900207900208,0,0,0,0
"Solibacteraceae_(Subgroup_3)",177.536231884058,0,237.201365187713,112.540192926045,0,89.4526034712951,103.950103950104,141.618497109827,148.420279206466,0,0
"Subgroup_12_fa",0,0,0,0,0,0,2.07900207900208,0,0,0,0
"Subgroup_13_fa",12.6811594202899,0,15.358361774744,0,0,0,6.23700623700624,4.81695568400771,2.20426157237326,0,0
"Subgroup_2_fa",47.1014492753623,0,27.3037542662116,0,0,0,0,6.74373795761079,12.4908155767818,0,0
"Aminicenantales_fa",0,0,0,0,0,0,0,5.78034682080925,2.93901542983101,0,0
"11-24_fa",59.7826086956522,0,66.5529010238908,3.21543408360129,0,4.00534045393859,4.15800415800416,14.4508670520231,12.4908155767818,0,0
"Blastocatellaceae",72.4637681159421,0,88.7372013651877,418.006430868167,0,388.518024032043,22.8690228690229,115.606936416185,137.3989713446,0,0
"DS-100_fa",9.05797101449276,0,6.8259385665529,8.03858520900322,0,6.67556742323098,2.07900207900208,11.5606936416185,4.40852314474651,0,0
"Pyrinomonadaceae",710.144927536232,0,755.972696245734,588.424437299036,0,580.774365821095,45.7380457380458,32.7552986512524,35.2681851579721,0,0
"Holophagaceae",0,0,0,0,0,0,31.1850311850312,0,0,0,0
"Subgroup_7_fa",228.260869565217,0,216.723549488055,83.6012861736335,0,140.186915887851,155.925155925156,40.4624277456647,37.4724467303453,0,0
"Subgroup_11_fa",3.6231884057971,0,1.70648464163823,0,0,0,0,0.963391136801542,5.14327700220426,0,0
