"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermia",0,0,0,0,0,0,0,0.963391136801542,2.20426157237326,0,0
"Acidobacteria",3094.20289855073,0,3307.16723549488,2755.6270096463,0,2750.33377837116,920.997920997921,1929.67244701349,2267.45040411462,14.8148148148148,0
"Actinobacteria",16032.6086956522,500.000000000068,20206.4846416382,14988.7459807074,1076.9230769231,14093.4579439252,827.442827442827,5207.12909441234,4363.70315944159,2014.81481481482,0
"Armatimonadetes",297.101449275362,0,254.266211604096,310.289389067524,0,303.070761014686,37.4220374220374,28.9017341040462,24.2468772961058,0,0
"BRC1",19.9275362318841,0,32.4232081911263,17.6848874598071,0,16.0213618157543,6.23700623700624,49.1329479768786,34.5334313005143,0,0
"Bacteria_unclassified",586.956521739131,0,849.829351535837,598.070739549839,0,403.204272363151,384.615384615385,485.549132947977,458.486407053637,7.40740740740742,0
"Bacteroidetes",387.68115942029,0,542.662116040956,1691.31832797428,0,1814.41922563418,505.197505197505,2036.60886319846,2119.76487876561,518.51851851852,0.789265982636149
"Calditrichaeota",0,0,0,0,0,0,0,5.78034682080925,20.5731080088171,0,0
"Chloroflexi",3744.5652173913,0,4302.04778156997,3860.12861736335,153.846153846157,3930.5740987984,1251.55925155925,2496.14643545279,2493.01983835415,7.40740740740742,0
"Cyanobacteria",7.2463768115942,0,8.53242320819113,3393.89067524116,76.9230769230785,886.515353805074,76.923076923077,84.7784200385357,69.8016164584864,0,0
"Dadabacteria",0,0,0,0,0,0,0,17.3410404624277,18.3688464364438,0,0
"Deinococcus-Thermus",0,0,1.70648464163823,20.9003215434084,0,12.0160213618158,6.23700623700624,1.92678227360308,2.93901542983101,244.444444444445,0
"Dependentiae",30.7971014492754,0,22.1843003412969,3.21543408360129,0,4.00534045393859,0,31.7919075144509,24.9816311535636,0,0
"Elusimicrobia",16.304347826087,0,20.4778156996587,8.03858520900322,0,20.0267022696929,16.6320166320166,16.3776493256262,13.9603232916973,0,0
"Entotheonellaeota",144.927536231884,0,133.105802047782,172.025723472669,0,110.814419225634,0,134.874759152216,180.014695077149,7.40740740740742,0
"Epsilonbacteraeota",0,0,0,0,0,0,0,0,1.4695077149155,0,0
"FBP",1.81159420289855,0,3.41296928327645,62.7009646302251,0,76.1014686248331,0,0,2.93901542983101,0,0
"FCPU426",0,0,0,0,0,0,0,0.963391136801542,3.67376928728876,0,0
"Fibrobacteres",3.6231884057971,0,1.70648464163823,11.2540192926045,0,9.34579439252337,6.23700623700624,49.1329479768786,35.2681851579721,0,0
"Firmicutes",57.9710144927536,0,162.116040955631,231.511254019293,0,134.846461949266,54.0540540540541,1450.86705202312,918.44232182219,5659.25925925927,9080.50513022889
"Fusobacteria",0,0,0,0,0,0,0,0,0.734753857457752,59.2592592592594,0
"GAL15",0,0,0,0,0,0,0,0.963391136801542,0,0,0
"Gemmatimonadetes",865.942028985508,500.000000000068,1000,1093.24758842444,0,1193.5914552737,463.617463617464,675.337186897881,716.385011021308,51.851851851852,0
"Halanaerobiaeota",0,0,0,1.60771704180064,0,0,0,0,0.734753857457752,0,0
"Hydrogenedentes",0,0,1.70648464163823,4.82315112540193,0,4.00534045393859,6.23700623700624,18.3044315992293,32.3291697281411,0,0
"Kiritimatiellaeota",0,0,0,0,0,0,8.31600831600832,0,0,0,0
"Latescibacteria",135.869565217391,0,139.931740614335,6.43086816720257,0,9.34579439252337,62.3700623700624,102.119460500963,211.609110947833,0,0
"Lentisphaerae",0,0,0,0,0,0,0,1.92678227360308,1.4695077149155,0,0
"Margulisbacteria",0,0,0,0,0,0,0,0.963391136801542,0,0,0
"Modulibacteria",0,0,0,0,0,0,0,0.963391136801542,0,0,0
"Nitrospinae",0,0,0,0,0,0,18.7110187110187,0.963391136801542,2.20426157237326,0,0
"Nitrospirae",99.6376811594203,0,100.682593856655,43.4083601286174,0,21.3618157543391,101.871101871102,100.19267822736,99.9265246142542,0,0
"Omnitrophicaeota",9.05797101449276,0,10.2389078498294,1.60771704180064,0,0,2.07900207900208,4.81695568400771,14.695077149155,0,0
"PAUC34f",0,0,0,0,0,0,0,0.963391136801542,0,0,0
"Patescibacteria",21.7391304347826,0,23.8907849829352,28.9389067524116,0,41.3885180240321,45.7380457380458,28.9017341040463,30.8596620132256,0,0
"Planctomycetes",1655.79710144928,0,1945.39249146758,1919.61414790997,76.9230769230785,1958.61148197597,288.981288981289,2192.67822736031,2016.16458486407,29.6296296296297,0
"Proteobacteria",3661.23188405797,0,4368.60068259386,5913.18327974276,230.769230769236,4618.15754339119,2632.01663201663,10934.4894026975,14929.463629684,2385.18518518519,4508.28729281768
"Rokubacteria",324.275362318841,0,296.928327645051,196.141479099679,153.846153846157,197.596795727637,58.2120582120582,117.533718689788,110.213078618663,7.40740740740742,0
"Schekmanbacteria",0,0,0,0,0,0,2.07900207900208,0.963391136801542,1.4695077149155,0,0
"Spirochaetes",0,0,0,0,0,1.3351134846462,22.8690228690229,11.5606936416185,10.2865540044085,0,0
"TA06",0,0,0,0,0,0,0,0.963391136801542,0,0,0
"Tenericutes",0,0,0,0,0,1.3351134846462,0,0,0,0,0
"Verrucomicrobia",1965.57971014493,0,2095.56313993174,779.742765273312,76.9230769230785,886.515353805074,367.983367983368,521.194605009634,514.327700220426,0,0
"WPS-2",1.81159420289855,0,0,9.64630225080386,0,6.67556742323098,0,2.89017341040462,1.4695077149155,0,0
"WS1",0,0,0,0,0,0,2.07900207900208,0.963391136801542,0,0,0
"WS2",9.05797101449276,0,3.41296928327645,14.4694533762058,0,20.0267022696929,0,6.74373795761079,6.61278471711977,0,0
"WS4",0,0,0,0,0,0,2.07900207900208,0,0,0,0
"Zixibacteria",0,0,0,0,0,0,12.4740124740125,10.597302504817,4.40852314474651,0,0
