"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermiia",0,0,0,0,0,0,0,1,3,0,0
"AT-s3-28",0,0,0,2,0,5,0,5,9,0,0
"Acidobacteria_unclassified",0,0,0,0,0,2,3,12,11,0,0
"Acidobacteriia",200,0,218,72,0,71,72,166,233,0,0
"Aminicenantia",0,0,0,0,0,0,0,6,4,0,0
"Blastocatellia_(Subgroup_4)",470,0,538,633,0,734,36,181,258,0,0
"Holophagae",126,0,127,52,0,105,90,42,51,0,0
"Subgroup_11",2,0,1,0,0,0,0,1,7,0,0
"Subgroup_15",4,0,1,2,0,0,0,6,24,1,0
"Subgroup_17",42,0,59,24,0,37,32,92,147,0,0
"Subgroup_18",93,0,71,1,0,0,6,4,4,0,0
"Subgroup_20",1,0,3,0,0,1,0,0,0,0,0
"Subgroup_21",0,0,0,1,0,0,16,12,16,0,0
"Subgroup_22",5,0,6,9,0,8,8,24,135,0,0
"Subgroup_25",15,0,24,18,0,22,2,6,4,0,0
"Subgroup_26",0,0,0,0,0,0,0,2,2,0,0
"Subgroup_5",63,0,87,1,0,5,0,40,81,0,0
"Subgroup_6",684,0,792,865,0,1011,166,1161,1787,1,0
"Subgroup_9",0,0,0,0,0,0,0,46,65,0,0
"Thermoanaerobaculia",3,0,11,34,0,59,12,197,248,0,0
"0319-7L14",6,0,22,148,0,253,2,0,0,0,0
"Acidimicrobiia",375,1,445,1070,2,1563,82,1669,1902,4,0
"Actinobacteria_unclassified",795,0,928,255,1,288,3,10,9,0,0
"Actinobacteria",2969,0,3917,2854,1,2356,197,2584,2823,246,0
"Coriobacteriia",0,0,0,0,0,0,4,6,0,2,0
"MB-A2-108",949,0,1194,542,3,846,30,369,404,2,0
"Nitriliruptoria",0,0,1,26,0,26,0,32,27,0,0
"RBG-16-55-12",0,0,0,0,0,0,0,2,0,0,0
"Rubrobacteria",24,0,87,329,0,284,1,1,3,1,0
"Thermoleophilia",3732,0,5247,4099,7,4940,79,732,771,17,0
"WCHB1-81",0,0,0,0,0,0,0,0,4,0,0
"Armatimonadetes_unclassified",0,0,0,1,0,1,1,1,0,0,0
"Armatimonadia",10,0,8,93,0,114,2,0,0,0,0
"Chthonomonadetes",48,0,52,2,0,11,5,3,2,0,0
"Fimbriimonadia",5,0,7,11,0,25,7,15,8,0,0
"uncultured",101,0,82,91,0,81,3,12,28,0,0
"BRC1_cl",11,0,19,11,0,12,3,51,47,0,0
"Bacteria_unclassified",324,0,498,372,0,302,185,504,624,1,0
"Bacteroidetes_unclassified",0,0,0,6,0,1,0,13,18,0,0
"Bacteroidia",213,0,311,1034,0,1337,214,1921,2561,70,1
"Ignavibacteria",1,0,7,9,0,15,25,63,144,0,0
"Rhodothermia",0,0,0,3,0,6,4,117,168,0,0
"Calditrichia",0,0,0,0,0,0,0,6,28,0,0
"AD3",165,0,153,0,0,0,0,0,0,0,0
"Anaerolineae",89,0,117,119,0,189,433,1384,1956,1,0
"Chloroflexi_unclassified",34,0,53,53,0,78,23,68,90,0,0
"Chloroflexia",507,0,715,1032,0,1078,54,255,250,0,0
"Dehalococcoidia",55,0,64,68,0,85,5,239,367,0,0
"Gitt-GS-136",298,0,354,581,0,766,9,190,185,0,0
"JG30-KF-CM66",13,0,18,32,0,40,3,86,112,0,0
"KD4-96",395,0,505,353,1,544,60,333,378,0,0
"Ktedonobacteria",244,0,269,28,0,58,5,2,3,0,0
"OLB14",1,0,7,5,0,5,2,22,33,0,0
"SHA-26",22,0,26,11,1,8,3,0,0,0,0
"TK10",244,0,240,119,0,93,5,12,20,0,0
"Cyanobacteria_unclassified",0,0,0,0,0,0,1,0,0,0,0
"Melainabacteria",0,0,2,0,0,1,0,3,1,0,0
"Oxyphotobacteria",3,0,2,2105,1,648,35,44,35,0,0
"Sericytochromatia",1,0,1,6,0,15,1,41,60,0,0
"Dadabacteriia",0,0,0,0,0,0,0,18,25,0,0
"Deinococci",0,0,1,13,0,9,3,2,4,33,0
"Babeliae",17,0,13,2,0,3,0,33,34,0,0
"Elusimicrobia_unclassified",0,0,0,0,0,0,1,0,0,0,0
"Elusimicrobia",0,0,2,0,0,0,0,2,2,0,0
"Endomicrobia",0,0,0,0,0,0,0,2,0,0,0
"Lineage_IIa",7,0,3,0,0,3,1,0,4,0,0
"Lineage_IIb",1,0,7,5,0,12,4,12,9,0,0
"Lineage_IIc",1,0,0,0,0,0,2,1,4,0,0
"Entotheonellia",80,0,78,107,0,83,0,140,245,1,0
"Campylobacteria",0,0,0,0,0,0,0,0,2,0,0
"FBP_cl",1,0,2,39,0,57,0,0,4,0,0
"FCPU426_cl",0,0,0,0,0,0,0,1,5,0,0
"Chitinivibrionia",0,0,0,0,0,0,3,1,3,0,0
"Fibrobacteria",2,0,1,7,0,7,0,50,45,0,0
"Bacilli",30,0,82,100,0,80,8,1256,1071,539,11506
"Clostridia",2,0,13,41,0,21,16,241,175,202,0
"Erysipelotrichia",0,0,0,0,0,0,0,0,0,3,0
"Firmicutes_unclassified",0,0,0,0,0,0,0,2,1,0,0
"Negativicutes",0,0,0,3,0,0,2,7,12,20,0
"Fusobacteriia",0,0,0,0,0,0,0,0,1,8,0
"GAL15_cl",0,0,0,0,0,0,0,1,0,0,0
"AKAU4049",0,0,0,82,0,148,0,65,70,0,0
"BD2-11_terrestrial_group",2,1,1,18,0,21,6,126,206,0,0
"Gemmatimonadetes_unclassified",0,0,0,0,0,0,1,3,1,0,0
"Gemmatimonadetes",465,0,571,435,0,534,161,189,281,6,0
"Longimicrobia",2,0,11,114,0,138,11,102,117,0,0
"MD2902-B12",0,0,0,0,0,0,0,1,1,0,0
"PAUC43f_marine_benthic_group",0,0,0,0,0,0,0,24,25,0,0
"S0134_terrestrial_group",9,0,3,31,0,53,44,191,274,1,0
"Halanaerobiia",0,0,0,1,0,0,0,0,1,0,0
"Hydrogenedentia",0,0,1,3,0,3,3,19,44,0,0
"Kiritimatiellae",0,0,0,0,0,0,4,0,0,0,0
"Latescibacteria_cl",75,0,82,4,0,7,21,102,272,0,0
"Latescibacteria",0,0,0,0,0,0,9,4,16,0,0
"Oligosphaeria",0,0,0,0,0,0,0,2,2,0,0
"Margulisbacteria_cl",0,0,0,0,0,0,0,1,0,0,0
"Moduliflexia",0,0,0,0,0,0,0,1,0,0,0
"P9X2b3D02",0,0,0,0,0,0,9,1,3,0,0
"4-29-1",0,0,0,0,0,0,19,1,5,0,0
"Nitrospira",55,0,59,27,0,16,25,93,125,0,0
"Thermodesulfovibrionia",0,0,0,0,0,0,5,10,6,0,0
"Omnitrophia",1,0,3,0,0,0,0,4,9,0,0
"Omnitrophicaeota_cl",4,0,3,1,0,0,1,1,11,0,0
"PAUC34f_cl",0,0,0,0,0,0,0,1,0,0,0
"Berkelbacteria",1,0,1,0,0,3,0,0,0,0,0
"CPR2",0,0,0,0,0,0,3,0,0,0,0
"Gracilibacteria",1,0,0,4,0,4,4,14,12,0,0
"Microgenomatia",0,0,0,0,0,0,0,1,0,0,0
"Parcubacteria",2,0,6,4,0,2,15,12,20,0,0
"Patescibacteria_unclassified",0,0,1,0,0,1,0,0,3,0,0
"Saccharimonadia",8,0,6,5,0,16,0,2,3,0,0
"028H05-P-BN-P5",0,0,0,0,0,0,0,1,2,0,0
"BD7-11",1,0,3,0,0,0,1,6,7,0,0
"OM190",7,0,15,13,0,31,13,176,310,0,0
"Phycisphaerae",273,0,268,485,0,616,74,186,294,0,0
"Pla3_lineage",7,0,3,0,0,0,0,14,39,0,0
"Pla4_lineage",4,0,9,3,0,14,6,4,6,0,0
"Planctomycetacia",618,0,837,690,1,778,45,1851,2024,4,0
"Planctomycetes_unclassified",2,0,2,3,0,24,0,34,47,0,0
"vadinHA49",2,0,3,0,0,4,0,4,16,0,0
"Alphaproteobacteria",1284,0,1728,2621,3,2379,212,5264,6324,56,0
"Deltaproteobacteria",374,0,423,514,0,487,440,1579,2162,0,0
"Gammaproteobacteria",345,0,394,532,0,575,606,4470,11809,266,5712
"Proteobacteria_unclassified",18,0,15,11,0,18,8,37,50,0,0
"NC10",179,0,174,122,2,148,28,122,150,1,0
"Schekmanbacteria_cl",0,0,0,0,0,0,1,1,2,0,0
"Brachyspirae",0,0,0,0,0,0,0,0,1,0,0
"Leptospirae",0,0,0,0,0,0,1,2,1,0,0
"Spirochaetes_cl",0,0,0,0,0,0,0,1,0,0,0
"Spirochaetia",0,0,0,0,0,1,9,9,14,0,0
"V2072-189E03",0,0,0,0,0,0,1,0,0,0,0
"TA06_cl",0,0,0,0,0,0,0,1,0,0,0
"Mollicutes",0,0,0,0,0,1,0,0,0,0,0
"Verrucomicrobiae",1085,0,1228,485,1,664,177,541,701,0,0
"WPS-2_cl",1,0,0,6,0,5,0,3,2,0,0
"WS1_cl",0,0,0,0,0,0,1,1,0,0,0
"WS2_cl",5,0,2,9,0,15,0,7,9,0,0
"WS4_cl",0,0,0,0,0,0,1,0,0,0,0
"Zixibacteria_cl",0,0,0,0,0,0,6,11,6,0,0
