"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermiia_fa",0,0,0,0,0,0,0,1,3,0,0
"AT-s3-28_fa",0,0,0,2,0,5,0,5,9,0,0
"Acidobacteria_unclassified",0,0,0,0,0,2,3,12,11,0,0
"Acidobacteriaceae_(Subgroup_1)",5,0,3,0,0,0,0,0,0,0,0
"Acidobacteriales_unclassified",6,0,7,1,0,3,10,7,10,0,0
"Koribacteraceae",0,0,2,1,0,1,6,0,0,0,0
"uncultured",1487,1,1914,2422,5,2974,86,1372,1786,3,0
"Acidobacteriia_unclassified",0,0,0,0,0,0,1,0,0,0,0
"Solibacteraceae_(Subgroup_3)",98,0,139,70,0,67,50,147,202,0,0
"Subgroup_12_fa",0,0,0,0,0,0,1,0,0,0,0
"Subgroup_13_fa",7,0,9,0,0,0,3,5,3,0,0
"Subgroup_2_fa",26,0,16,0,0,0,0,7,17,0,0
"Aminicenantales_fa",0,0,0,0,0,0,0,6,4,0,0
"11-24_fa",33,0,39,2,0,3,2,15,17,0,0
"Blastocatellaceae",40,0,52,260,0,291,11,120,187,0,0
"DS-100_fa",5,0,4,5,0,5,1,12,6,0,0
"Pyrinomonadaceae",392,0,443,366,0,435,22,34,48,0,0
"Holophagaceae",0,0,0,0,0,0,15,0,0,0,0
"Subgroup_7_fa",126,0,127,52,0,105,75,42,51,0,0
"Subgroup_11_fa",2,0,1,0,0,0,0,1,7,0,0
"Subgroup_15_fa",4,0,1,2,0,0,0,6,24,1,0
"Subgroup_17_fa",42,0,59,24,0,37,32,92,147,0,0
"Subgroup_18_fa",93,0,71,1,0,0,6,4,4,0,0
"Subgroup_20_fa",1,0,3,0,0,1,0,0,0,0,0
"Subgroup_21_fa",0,0,0,1,0,0,16,12,16,0,0
"Subgroup_22_fa",5,0,6,9,0,8,8,24,135,0,0
"Subgroup_25_fa",15,0,24,18,0,22,2,6,4,0,0
"Subgroup_26_fa",0,0,0,0,0,0,0,2,2,0,0
"Subgroup_5_fa",63,0,87,1,0,5,0,40,81,0,0
"Subgroup_6_fa",635,0,758,827,0,951,159,1058,1672,0,0
"Subgroup_6_unclassified",49,0,32,31,0,50,6,77,91,0,0
"Unknown_Family",33,0,40,25,0,23,2,133,146,1,0
"Subgroup_9_fa",0,0,0,0,0,0,0,46,65,0,0
"Thermoanaerobaculaceae",3,0,11,34,0,59,12,197,248,0,0
"0319-7L14_fa",6,0,22,148,0,253,2,0,0,0,0
"Acidimicrobiaceae",21,0,19,0,0,0,0,0,0,0,0
"Acidimicrobiia_unclassified",13,0,19,76,0,117,11,24,21,0,0
"Actinomarinales_fa",0,0,0,0,0,0,0,65,46,0,0
"Actinomarinales_unclassified",0,0,0,5,0,7,0,4,2,0,0
"IMCC26256_fa",230,0,228,77,0,121,4,121,147,0,0
"Iamiaceae",0,0,3,23,0,37,8,168,225,0,0
"Ilumatobacteraceae",31,0,59,109,0,192,10,262,262,4,0
"Microtrichaceae",0,0,0,2,0,0,6,57,66,0,0
"Microtrichales_fa",0,0,0,2,0,0,0,0,0,0,0
"Microtrichales_unclassified",36,0,24,46,0,66,6,169,183,0,0
"uncultured_fa",261,0,317,323,1,393,26,384,466,0,0
"Actinobacteria_unclassified",869,0,1006,353,1,384,5,82,91,4,0
"Actinomycetaceae",0,0,0,0,0,0,0,0,0,10,0
"Catenulisporaceae",3,0,7,0,0,0,0,0,0,0,0
"Corynebacteriaceae",0,0,0,1,0,0,0,0,6,135,0
"Corynebacteriales_Incertae_Sedis",0,0,0,0,0,0,0,2,0,0,0
"Dietziaceae",0,0,0,0,0,0,0,0,1,4,0
"Mycobacteriaceae",90,0,152,22,0,21,2,54,42,0,0
"Nocardiaceae",0,0,6,7,0,7,0,55,44,4,0
"Tsukamurellaceae",0,0,0,2,0,0,0,0,2,0,0
"Acidothermaceae",203,0,222,0,0,0,0,0,0,0,0
"Cryptosporangiaceae",0,0,0,5,0,4,2,41,48,0,0
"Frankiaceae",75,0,66,0,0,0,0,0,0,0,0
"Frankiales_unclassified",59,0,66,18,0,22,0,3,7,0,0
"Geodermatophilaceae",108,0,179,330,0,151,31,26,21,3,0
"Nakamurellaceae",7,0,11,78,0,34,0,44,47,0,0
"Sporichthyaceae",11,0,13,15,0,15,0,18,22,0,0
"Glycomycetaceae",0,0,0,0,0,0,0,9,5,0,0
"Kineosporiaceae",14,0,49,60,0,36,2,37,12,0,0
"Brevibacteriaceae",0,0,0,1,0,2,0,1,0,10,0
"Cellulomonadaceae",3,0,11,137,0,76,2,2,5,11,0
"Demequinaceae",0,0,0,0,0,0,0,2,15,0,0
"Dermabacteraceae",0,0,0,0,0,0,0,0,1,0,0
"Intrasporangiaceae",21,0,64,67,1,73,29,124,141,3,0
"Microbacteriaceae",3,0,12,23,0,37,4,286,185,1,0
"Micrococcaceae",39,0,105,205,0,107,16,651,885,30,0
"Micrococcales_unclassified",0,0,1,2,0,8,1,27,36,7,0
"Promicromonosporaceae",0,0,2,1,0,2,0,15,12,0,0
"Sanguibacteraceae",0,0,0,0,0,0,0,2,0,0,0
"Micromonosporaceae",463,0,621,469,0,403,38,130,118,0,0
"PeM15_fa",0,0,0,0,0,0,2,5,3,0,0
"Nocardioidaceae",359,0,656,550,0,575,46,742,845,19,0
"Propionibacteriaceae",0,0,0,206,0,264,2,20,9,0,0
"Pseudonocardiaceae",990,0,870,174,0,139,4,46,49,3,0
"Streptomycetaceae",357,0,527,45,0,52,4,146,149,0,0
"Nocardiopsaceae",1,0,1,0,0,0,0,0,1,0,0
"Streptosporangiaceae",16,0,38,8,0,6,0,19,23,0,0
"Streptosporangiales_unclassified",35,0,66,4,0,4,0,0,0,0,0
"Thermomonosporaceae",26,0,50,12,0,11,3,5,2,1,0
"Atopobiaceae",0,0,0,0,0,0,0,0,0,2,0
"FS118-23B-02_fa",0,0,0,0,0,0,0,1,0,0,0
"OPB41_fa",0,0,0,0,0,0,4,5,0,0,0
"MB-A2-108_fa",949,0,1194,542,3,846,30,369,404,2,0
"Euzebyaceae",0,0,1,20,0,20,0,3,8,0,0
"Nitriliruptoraceae",0,0,0,0,0,0,0,29,19,0,0
"Nitriliruptoria_unclassified",0,0,0,6,0,6,0,0,0,0,0
"RBG-16-55-12_fa",0,0,0,0,0,0,0,2,0,0,0
"Rubrobacteriaceae",24,0,87,329,0,284,1,1,3,1,0
"Gaiellaceae",367,0,479,428,0,509,22,262,300,5,0
"Gaiellales_unclassified",508,0,700,103,1,111,5,1,4,0,0
"67-14",958,0,1435,1391,2,1610,10,206,182,4,0
"Solirubrobacteraceae",484,0,759,468,0,521,9,28,33,7,0
"Solirubrobacterales_unclassified",88,0,120,178,0,249,9,26,19,0,0
"Thermoleophilia_unclassified",27,0,56,60,0,59,2,4,5,0,0
"WCHB1-81_fa",0,0,0,0,0,0,0,0,4,0,0
"Armatimonadetes_unclassified",0,0,0,1,0,1,1,1,0,0,0
"Armatimonadaceae",0,0,0,0,0,0,2,0,0,0,0
"Armatimonadales_fa",9,0,6,77,0,95,0,0,0,0,0
"Armatimonadales_unclassified",1,0,2,16,0,19,0,0,0,0,0
"Chthonomonadaceae",10,0,7,0,0,0,1,3,1,0,0
"Chthonomonadales_fa",31,0,41,2,0,11,4,0,1,0,0
"Chthonomonadales_unclassified",7,0,4,0,0,0,0,0,0,0,0
"Fimbriimonadaceae",5,0,7,11,0,24,6,9,4,0,0
"Fimbriimonadales_fa",0,0,0,0,0,0,1,2,1,0,0
"Fimbriimonadales_unclassified",0,0,0,0,0,1,0,4,3,0,0
"BRC1_fa",11,0,19,11,0,12,3,51,47,0,0
"Bacteria_unclassified",324,0,498,372,0,302,185,504,624,1,0
"Bacteroidetes_unclassified",0,0,0,6,0,1,0,13,18,0,0
"Bacteroidales_unclassified",0,0,0,0,0,0,4,0,1,0,0
"Bacteroidetes_BD2-2",0,0,0,0,0,0,2,0,1,0,0
"Bacteroidetes_vadinHA17",0,0,0,0,0,0,19,4,1,0,0
"Paludibacteraceae",0,0,0,0,0,0,3,0,0,0,0
"Prevotellaceae",0,0,0,1,0,0,0,0,0,43,0
"Prolixibacteraceae",0,0,0,0,0,0,17,2,0,0,0
