"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermiia_ge",0,0,0,0,0,0,0,1,3,0,0
"AT-s3-28_ge",0,0,0,2,0,5,0,5,9,0,0
"Acidobacteria_unclassified",0,0,0,0,0,2,3,12,11,0,0
"Acidipila",0,0,2,0,0,0,0,0,0,0,0
"Granulicella",5,0,1,0,0,0,0,0,0,0,0
"Acidobacteriales_unclassified",6,0,7,1,0,3,10,7,10,0,0
"Candidatus_Koribacter",0,0,2,1,0,1,6,0,0,0,0
"uncultured_ge",1748,1,2231,2745,6,3367,112,1756,2252,3,0
"Acidobacteriia_unclassified",0,0,0,0,0,0,1,0,0,0,0
"AKIW659",0,0,0,3,0,2,0,0,0,0,0
"Bryobacter",35,0,62,53,0,49,28,23,44,0,0
"Candidatus_Solibacter",62,0,73,4,0,9,8,16,17,0,0
"GOUTB8",0,0,0,0,0,0,0,2,1,0,0
"PAUC26f",0,0,1,4,0,3,0,75,102,0,0
"Paludibaculum",0,0,2,0,0,0,5,1,3,0,0
"Solibacteraceae_(Subgroup_3)_unclassified",1,0,1,6,0,4,9,30,35,0,0
"Subgroup_12_ge",0,0,0,0,0,0,1,0,0,0,0
"Subgroup_13_ge",7,0,9,0,0,0,3,5,3,0,0
"Subgroup_2_ge",26,0,16,0,0,0,0,7,17,0,0
"Aminicenantales_ge",0,0,0,0,0,0,0,6,4,0,0
"11-24_ge",33,0,39,2,0,3,2,15,17,0,0
"Aridibacter",0,0,0,1,0,1,0,0,0,0,0
"Blastocatella",1,0,4,29,0,40,1,10,11,0,0
"Blastocatellaceae_unclassified",22,0,30,88,0,84,6,26,29,0,0
"JGI_0001001-H03",0,0,0,7,0,8,1,1,1,0,0
"Stenotrophobacter",0,0,4,73,0,82,1,40,101,0,0
"uncultured",1637,0,2022,1743,0,1818,428,3547,4321,16,0
"DS-100_ge",5,0,4,5,0,5,1,12,6,0,0
"RB41",392,0,443,366,0,435,22,34,48,0,0
"Holophaga",0,0,0,0,0,0,5,0,0,0,0
"Holophagaceae_ge",0,0,0,0,0,0,4,0,0,0,0
"Holophagaceae_unclassified",0,0,0,0,0,0,4,0,0,0,0
"Subgroup_7_ge",126,0,127,52,0,105,75,42,51,0,0
"Subgroup_11_ge",2,0,1,0,0,0,0,1,7,0,0
"Subgroup_15_ge",4,0,1,2,0,0,0,6,24,1,0
"Subgroup_17_ge",42,0,59,24,0,37,32,92,147,0,0
"Subgroup_18_ge",93,0,71,1,0,0,6,4,4,0,0
"Subgroup_20_ge",1,0,3,0,0,1,0,0,0,0,0
"Subgroup_21_ge",0,0,0,1,0,0,16,12,16,0,0
"Subgroup_22_ge",5,0,6,9,0,8,8,24,135,0,0
"Subgroup_25_ge",15,0,24,18,0,22,2,6,4,0,0
"Subgroup_26_ge",0,0,0,0,0,0,0,2,2,0,0
"Subgroup_5_ge",63,0,87,1,0,5,0,40,81,0,0
"Subgroup_6_ge",635,0,758,827,0,951,159,1058,1672,0,0
"Subgroup_6_unclassified",49,0,32,31,0,50,6,77,91,0,0
"Luteitalea",0,0,1,6,0,8,0,26,24,1,0
"Vicinamibacter",0,0,1,1,0,2,1,0,0,0,0
"Subgroup_9_ge",0,0,0,0,0,0,0,46,65,0,0
"Subgroup_10",3,0,11,34,0,59,11,191,247,0,0
"Subgroup_23",0,0,0,0,0,0,0,4,1,0,0
"Thermoanaerobaculum",0,0,0,0,0,0,1,2,0,0,0
"0319-7L14_ge",6,0,22,148,0,253,2,0,0,0,0
"Acidimicrobiia_unclassified",13,0,19,76,0,117,11,24,21,0,0
"Actinomarinales_ge",0,0,0,0,0,0,0,65,46,0,0
"Actinomarinales_unclassified",0,0,0,5,0,7,0,4,2,0,0
"IMCC26256_ge",230,0,228,77,0,121,4,121,147,0,0
"Iamia",0,0,3,23,0,37,8,168,225,0,0
"Ilumatobacter",0,0,0,0,0,1,1,50,65,0,0
"Ilumatobacteraceae_unclassified",21,0,33,87,0,162,7,200,189,4,0
"IMCC26207",0,0,0,0,0,0,1,4,3,0,0
"Microtrichaceae_unclassified",0,0,0,0,0,0,1,0,0,0,0
"Sva0996_marine_group",0,0,0,0,0,0,0,40,38,0,0
"Microtrichales_ge",0,0,0,2,0,0,0,0,0,0,0
"Microtrichales_unclassified",36,0,24,46,0,66,6,169,183,0,0
"Actinobacteria_unclassified",869,0,1006,353,1,384,5,82,91,4,0
"Actinomyces",0,0,0,0,0,0,0,0,0,10,0
"Catenulispora",3,0,7,0,0,0,0,0,0,0,0
"Corynebacteriaceae_unclassified",0,0,0,0,0,0,0,0,0,2,0
"Corynebacterium",0,0,0,0,0,0,0,0,0,15,0
"Corynebacterium_1",0,0,0,1,0,0,0,0,5,99,0
"Lawsonella",0,0,0,0,0,0,0,0,1,11,0
"Turicella",0,0,0,0,0,0,0,0,0,8,0
"Tomitella",0,0,0,0,0,0,0,2,0,0,0
"Dietzia",0,0,0,0,0,0,0,0,1,4,0
"Mycobacteriaceae_unclassified",0,0,0,0,0,0,0,1,0,0,0
"Mycobacterium",90,0,152,22,0,21,2,53,42,0,0
"Gordonia",0,0,0,0,0,1,0,1,0,0,0
"Nocardia",0,0,4,3,0,3,0,8,10,0,0
"Nocardiaceae_unclassified",0,0,0,0,0,1,0,0,0,0,0
"Rhodococcus",0,0,1,0,0,1,0,16,15,0,0
"Smaragdicoccus",0,0,0,4,0,1,0,26,13,0,0
"Williamsia",0,0,1,0,0,0,0,4,6,4,0
"Tsukamurella",0,0,0,2,0,0,0,0,2,0,0
"Acidothermus",203,0,222,0,0,0,0,0,0,0,0
"Cryptosporangium",0,0,0,5,0,4,0,1,0,0,0
"Fodinicola",0,0,0,0,0,0,2,40,48,0,0
"Jatrophihabitans",75,0,66,0,0,0,0,0,0,0,0
"Frankiales_unclassified",59,0,66,18,0,22,0,3,7,0,0
"Antricoccus",0,0,0,0,0,0,0,0,1,0,0
"Blastococcus",53,0,72,244,0,111,16,11,9,3,0
"Geodermatophilaceae_unclassified",9,0,19,44,0,22,14,15,10,0,0
"Geodermatophilus",19,0,27,38,0,18,0,0,1,0,0
"Modestobacter",27,0,61,4,0,0,1,0,0,0,0
"Nakamurella",7,0,11,78,0,34,0,44,47,0,0
"Sporichthya",0,0,0,0,0,0,0,2,2,0,0
"Glycomyces",0,0,0,0,0,0,0,9,5,0,0
"Angustibacter",3,0,6,14,0,6,0,0,0,0,0
"Kineococcus",2,0,1,1,0,0,0,0,5,0,0
"Kineosporiaceae_unclassified",9,0,42,44,0,30,2,37,7,0,0
"Quadrisphaera",0,0,0,1,0,0,0,0,0,0,0
"Brevibacterium",0,0,0,1,0,2,0,1,0,10,0
"Actinotalea",0,0,1,39,0,25,2,2,5,11,0
"Cellulomonas",3,0,10,98,0,51,0,0,0,0,0
"Demequina",0,0,0,0,0,0,0,2,13,0,0
"Demequinaceae_unclassified",0,0,0,0,0,0,0,0,2,0,0
"Brachybacterium",0,0,0,0,0,0,0,0,1,0,0
"Intrasporangiaceae_unclassified",21,0,64,51,1,58,29,124,141,3,0
"Ornithinimicrobium",0,0,0,16,0,15,0,0,0,0,0
"Agromyces",0,0,4,10,0,17,2,229,146,0,0
