"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermiia_or",0,0,0,0,0,0,0,1,3,0,0
"AT-s3-28_or",0,0,0,2,0,5,0,5,9,0,0
"Acidobacteria_unclassified",0,0,0,0,0,2,3,12,11,0,0
"Acidobacteriales",69,0,54,2,0,4,17,7,11,0,0
"Acidobacteriia_unclassified",0,0,0,0,0,0,1,0,0,0,0
"Solibacterales",98,0,139,70,0,67,50,147,202,0,0
"Subgroup_12",0,0,0,0,0,0,1,0,0,0,0
"Subgroup_13",7,0,9,0,0,0,3,5,3,0,0
"Subgroup_2",26,0,16,0,0,0,0,7,17,0,0
"Aminicenantales",0,0,0,0,0,0,0,6,4,0,0
"11-24",33,0,39,2,0,3,2,15,17,0,0
"Blastocatellales",40,0,52,260,0,291,11,120,187,0,0
"DS-100",5,0,4,5,0,5,1,12,6,0,0
"Pyrinomonadales",392,0,443,366,0,435,22,34,48,0,0
"Holophagales",0,0,0,0,0,0,15,0,0,0,0
"Subgroup_7",126,0,127,52,0,105,75,42,51,0,0
"Subgroup_11_or",2,0,1,0,0,0,0,1,7,0,0
"Subgroup_15_or",4,0,1,2,0,0,0,6,24,1,0
"Subgroup_17_or",42,0,59,24,0,37,32,92,147,0,0
"Subgroup_18_or",93,0,71,1,0,0,6,4,4,0,0
"Subgroup_20_or",1,0,3,0,0,1,0,0,0,0,0
"Subgroup_21_or",0,0,0,1,0,0,16,12,16,0,0
"Subgroup_22_or",5,0,6,9,0,8,8,24,135,0,0
"Subgroup_25_or",15,0,24,18,0,22,2,6,4,0,0
"Subgroup_26_or",0,0,0,0,0,0,0,2,2,0,0
"Subgroup_5_or",63,0,87,1,0,5,0,40,81,0,0
"Subgroup_6_or",635,0,758,827,0,951,159,1058,1672,0,0
"Subgroup_6_unclassified",49,0,32,31,0,50,6,77,91,0,0
"Unknown_Order",0,0,2,7,0,10,1,26,24,1,0
"Subgroup_9_or",0,0,0,0,0,0,0,46,65,0,0
"Thermoanaerobaculales",3,0,11,34,0,59,12,197,248,0,0
"0319-7L14_or",6,0,22,148,0,253,2,0,0,0,0
"Acidimicrobiales",21,0,19,0,0,0,0,0,0,0,0
"Acidimicrobiia_unclassified",13,0,19,76,0,117,11,24,21,0,0
"Actinomarinales",0,0,0,60,0,119,3,709,822,0,0
"IMCC26256",230,0,228,77,0,121,4,121,147,0,0
"Microtrichales",84,1,127,699,1,976,56,800,883,4,0
"uncultured",160,0,235,232,1,312,23,372,438,0,0
"Actinobacteria_unclassified",869,0,1006,353,1,384,5,82,91,4,0
"Actinomycetales",0,0,0,0,0,0,0,0,0,10,0
"Catenulisporales",3,0,7,0,0,0,0,0,0,0,0
"Corynebacteriales",90,0,158,32,0,28,2,111,95,143,0
"Frankiales",475,0,601,760,0,437,40,132,150,4,0
"Glycomycetales",0,0,0,0,0,0,0,9,5,0,0
"Kineosporiales",14,0,49,60,0,36,2,37,12,0,0
"Micrococcales",66,0,195,436,1,305,52,1110,1280,62,0
"Micromonosporales",463,0,621,469,0,403,38,130,118,0,0
"PeM15",0,0,0,0,0,0,2,5,3,0,0
"Propionibacteriales",359,0,656,756,0,839,48,762,854,19,0
"Pseudonocardiales",990,0,870,174,0,139,4,46,49,3,0
"Streptomycetales",357,0,527,45,0,52,4,146,149,0,0
"Streptosporangiales",78,0,155,24,0,21,3,24,26,1,0
"Coriobacteriales",0,0,0,0,0,0,0,0,0,2,0
"FS118-23B-02",0,0,0,0,0,0,0,1,0,0,0
"OPB41",0,0,0,0,0,0,4,5,0,0,0
"MB-A2-108_or",949,0,1194,542,3,846,30,369,404,2,0
"Euzebyales",0,0,1,20,0,20,0,3,8,0,0
"Nitriliruptorales",0,0,0,0,0,0,0,29,19,0,0
"Nitriliruptoria_unclassified",0,0,0,6,0,6,0,0,0,0,0
"RBG-16-55-12_or",0,0,0,0,0,0,0,2,0,0,0
"Rubrobacterales",24,0,87,329,0,284,1,1,3,1,0
"Gaiellales",2067,0,2713,1945,5,2441,44,458,524,6,0
"Solirubrobacterales",1530,0,2314,2037,2,2380,28,260,234,11,0
"Thermoleophilia_unclassified",27,0,56,60,0,59,2,4,5,0,0
"WCHB1-81_or",0,0,0,0,0,0,0,0,4,0,0
"Armatimonadetes_unclassified",0,0,0,1,0,1,1,1,0,0,0
"Armatimonadales",10,0,8,93,0,114,2,0,0,0,0
"Chthonomonadales",48,0,52,2,0,11,5,3,2,0,0
"Fimbriimonadales",5,0,7,11,0,25,7,15,8,0,0
"uncultured_or",101,0,82,91,0,81,3,12,28,0,0
"BRC1_or",11,0,19,11,0,12,3,51,47,0,0
"Bacteria_unclassified",324,0,498,372,0,302,185,504,624,1,0
"Bacteroidetes_unclassified",0,0,0,6,0,1,0,13,18,0,0
"Bacteroidales",0,0,0,1,0,0,64,7,11,44,0
"Bacteroidia_unclassified",2,0,4,36,0,28,5,38,46,0,0
"Chitinophagales",171,0,251,544,0,744,63,363,512,6,0
"Cytophagales",16,0,32,419,0,487,52,875,1171,1,1
"Flavobacteriales",1,0,1,12,0,20,2,524,712,18,0
