"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermia",0,0,0,0,0,0,0,1,3,0,0
"Acidobacteria",1708,0,1938,1714,0,2060,443,2003,3086,2,0
"Actinobacteria",8850,1,11841,9323,14,10556,398,5405,5943,272,0
"Armatimonadetes",164,0,149,193,0,227,18,30,33,0,0
"BRC1",11,0,19,11,0,12,3,51,47,0,0
"Bacteria_unclassified",324,0,498,372,0,302,185,504,624,1,0
"Bacteroidetes",214,0,318,1052,0,1359,243,2114,2891,70,1
"Calditrichaeota",0,0,0,0,0,0,0,6,28,0,0
"Chloroflexi",2067,0,2521,2401,2,2944,602,2591,3394,1,0
"Cyanobacteria",4,0,5,2111,1,664,37,88,96,0,0
"Dadabacteria",0,0,0,0,0,0,0,18,25,0,0
"Deinococcus-Thermus",0,0,1,13,0,9,3,2,4,33,0
"Dependentiae",17,0,13,2,0,3,0,33,34,0,0
"Elusimicrobia",9,0,12,5,0,15,8,17,19,0,0
"Entotheonellaeota",80,0,78,107,0,83,0,140,245,1,0
"Epsilonbacteraeota",0,0,0,0,0,0,0,0,2,0,0
"FBP",1,0,2,39,0,57,0,0,4,0,0
"FCPU426",0,0,0,0,0,0,0,1,5,0,0
"Fibrobacteres",2,0,1,7,0,7,3,51,48,0,0
"Firmicutes",32,0,95,144,0,101,26,1506,1259,764,11506
"Fusobacteria",0,0,0,0,0,0,0,0,1,8,0
"GAL15",0,0,0,0,0,0,0,1,0,0,0
"Gemmatimonadetes",478,1,586,680,0,894,223,701,975,7,0
"Halanaerobiaeota",0,0,0,1,0,0,0,0,1,0,0
"Hydrogenedentes",0,0,1,3,0,3,3,19,44,0,0
"Kiritimatiellaeota",0,0,0,0,0,0,4,0,0,0,0
"Latescibacteria",75,0,82,4,0,7,30,106,288,0,0
"Lentisphaerae",0,0,0,0,0,0,0,2,2,0,0
"Margulisbacteria",0,0,0,0,0,0,0,1,0,0,0
"Modulibacteria",0,0,0,0,0,0,0,1,0,0,0
"Nitrospinae",0,0,0,0,0,0,9,1,3,0,0
"Nitrospirae",55,0,59,27,0,16,49,104,136,0,0
"Omnitrophicaeota",5,0,6,1,0,0,1,5,20,0,0
"PAUC34f",0,0,0,0,0,0,0,1,0,0,0
"Patescibacteria",12,0,14,18,0,31,22,30,43,0,0
"Planctomycetes",914,0,1140,1194,1,1467,139,2276,2745,4,0
"Proteobacteria",2021,0,2560,3678,3,3459,1266,11350,20345,322,5712
"Rokubacteria",179,0,174,122,2,148,28,122,150,1,0
"Schekmanbacteria",0,0,0,0,0,0,1,1,2,0,0
"Spirochaetes",0,0,0,0,0,1,11,12,16,0,0
"TA06",0,0,0,0,0,0,0,1,0,0,0
"Tenericutes",0,0,0,0,0,1,0,0,0,0,0
"Verrucomicrobia",1085,0,1228,485,1,664,177,541,701,0,0
"WPS-2",1,0,0,6,0,5,0,3,2,0,0
"WS1",0,0,0,0,0,0,1,1,0,0,0
"WS2",5,0,2,9,0,15,0,7,9,0,0
"WS4",0,0,0,0,0,0,1,0,0,0,0
"Zixibacteria",0,0,0,0,0,0,6,11,6,0,0
